iter	RMSEWithUncertainty
0	4.049825979
1	4.008853015
2	3.975246262
3	3.942553039
4	3.908737786
5	3.872162273
6	3.836283957
7	3.808513089
8	3.780084637
9	3.744893992
10	3.718437645
11	3.686351046
12	3.659424296
13	3.633339609
14	3.606734265
15	3.578265682
16	3.551188462
17	3.514350987
18	3.488422562
19	3.46180212
20	3.435129072
21	3.411895724
22	3.386513621
23	3.353640173
24	3.327471291
25	3.304247953
26	3.279084939
27	3.251127498
28	3.225857864
29	3.197549981
30	3.173970871
31	3.146144661
32	3.119635704
33	3.090606127
34	3.062431691
35	3.036553954
36	3.001525507
37	2.976660915
38	2.945745501
39	2.916783613
40	2.891252372
41	2.866986728
42	2.844128882
43	2.821589254
44	2.7907315
45	2.764514145
46	2.735368377
47	2.710194353
48	2.684567079
49	2.654899034
50	2.632303614
51	2.609145368
52	2.585050563
53	2.558266161
54	2.537697919
55	2.513888813
56	2.493211784
57	2.47377882
58	2.454125953
59	2.428276478
60	2.404798282
61	2.382876724
62	2.361114718
63	2.328768047
64	2.310377649
65	2.290079105
66	2.272162418
67	2.24965757
68	2.229292149
69	2.206884505
70	2.194235411
71	2.176440234
72	2.16200151
73	2.1452806
74	2.129837416
75	2.11211805
76	2.09941976
77	2.085154308
78	2.072959603
79	2.057947455
80	2.04441523
81	2.033479963
82	2.030807713
83	2.014492432
84	2.002087824
85	1.98569954
86	1.977683737
87	1.966416808
88	1.953074511
89	1.943181057
90	1.93275559
91	1.926303608
92	1.916353835
93	1.903514751
94	1.8942608
95	1.882707395
96	1.870940529
97	1.860328447
98	1.848717515
99	1.842731191
100	1.835534954
101	1.813502676
102	1.803871756
103	1.793960292
104	1.78525063
105	1.778753999
106	1.773194489
107	1.765230852
108	1.761444228
109	1.753418285
110	1.747403433
111	1.734958026
112	1.730920154
113	1.72120845
114	1.710282534
115	1.698177492
116	1.693939436
117	1.683359211
118	1.670932021
119	1.663564959
120	1.651026471
121	1.642619838
122	1.634373269
123	1.629258455
124	1.621524889
125	1.612946407
126	1.608358162
127	1.598651582
128	1.588487943
129	1.579684262
130	1.573536396
131	1.564682792
132	1.556720003
133	1.549734838
134	1.540935633
135	1.537333194
136	1.530960812
137	1.522860925
138	1.517853619
139	1.512788054
140	1.505348848
141	1.499587032
142	1.494811298
143	1.494976612
144	1.493298073
145	1.491073947
146	1.485119114
147	1.482393031
148	1.480603739
149	1.478720269
150	1.47811149
151	1.472187776
152	1.470267011
153	1.466772953
154	1.465258473
155	1.463745117
156	1.467382855
157	1.464816051
158	1.459364934
159	1.459764994
160	1.457265607
161	1.454325176
162	1.452086336
163	1.449395642
164	1.448169761
165	1.447376582
166	1.444188799
167	1.442784414
168	1.440656545
169	1.440229307
170	1.441558309
171	1.439980687
172	1.439736871
173	1.43873528
174	1.43706953
175	1.436178204
176	1.435984524
177	1.43306598
178	1.432794053
179	1.43130014
180	1.430326974
181	1.430227368
182	1.429763535
183	1.431505517
184	1.43339836
185	1.433469769
186	1.433211522
187	1.433906701
188	1.43184214
189	1.432905286
190	1.434906815
191	1.432853163
192	1.432677612
193	1.432738648
194	1.432803859
195	1.433282568
196	1.435714881
197	1.431646149
198	1.429845627
199	1.431469226
200	1.431959
201	1.432583662
202	1.428515553
203	1.427167205
204	1.428722432
205	1.426599603
206	1.424898801
207	1.422857598
208	1.421229431
209	1.419245658
210	1.417509802
211	1.41595564
212	1.414016551
213	1.414367644
214	1.414852777
215	1.411019378
216	1.412250943
217	1.410642828
218	1.412079428
219	1.410084181
220	1.408174971
221	1.4063419
222	1.404402216
223	1.40345306
224	1.402522016
225	1.400785827
226	1.399895126
227	1.400565954
228	1.399639865
229	1.398130358
230	1.399775204
231	1.39876678
232	1.399903357
233	1.398837322
234	1.400386413
235	1.398607556
236	1.39658524
237	1.397074555
238	1.395519433
239	1.392721078
240	1.390015454
241	1.3888948
242	1.389968097
243	1.388804324
244	1.387400572
245	1.385209751
246	1.385639334
247	1.38415354
248	1.381511553
249	1.380416473
250	1.378321631
251	1.376697262
252	1.374634121
253	1.372886204
254	1.373365708
255	1.372061853
256	1.370357368
257	1.368435873
258	1.366472419
259	1.364696307
260	1.362996794
261	1.361340149
262	1.361135141
263	1.36100221
264	1.361012501
265	1.35918427
266	1.357656182
267	1.356828865
268	1.3555479
269	1.35381037
270	1.352552978
271	1.351374776
272	1.350102012
273	1.350129474
274	1.350279461
275	1.350151721
276	1.349458058
277	1.349682228
278	1.348876933
279	1.348384015
280	1.347852494
281	1.344910876
282	1.344643843
283	1.344337099
284	1.34166458
285	1.341475976
286	1.341846241
287	1.340856405
288	1.340799695
289	1.340217114
290	1.340579558
291	1.340031079
292	1.33769734
293	1.338763997
294	1.336309152
295	1.336993803
296	1.338422949
297	1.338966614
298	1.339947312
299	1.339561784
300	1.339270047
301	1.339557774
302	1.340212982
303	1.341622167
304	1.342511983
305	1.342285747
306	1.342628472
307	1.343490417
308	1.343765206
309	1.344086368
310	1.345857003
311	1.346234319
312	1.347994646
313	1.3487445
314	1.348575912
315	1.348613146
316	1.348987013
317	1.349962808
318	1.349614802
319	1.350497304
320	1.351811708
321	1.353431183
322	1.355025862
323	1.355870758
324	1.357410308
325	1.357656983
326	1.359176965
327	1.359355296
328	1.360836901
329	1.361979694
330	1.361130723
331	1.361240366
332	1.362354245
333	1.363746175
334	1.359702805
335	1.361164492
336	1.362296934
337	1.362248178
338	1.362872278
339	1.363987377
340	1.364571496
341	1.364694114
342	1.364629818
343	1.365006363
344	1.36555474
345	1.366580247
346	1.36424345
347	1.364614703
348	1.365660607
349	1.363373424
350	1.363858885
351	1.364439876
352	1.35838568
353	1.358994943
354	1.359368407
355	1.357290436
356	1.357899144
357	1.358509324
358	1.358718221
359	1.359850002
360	1.360427388
361	1.353372809
362	1.351965006
363	1.352688753
364	1.35308896
365	1.353954755
366	1.354283187
367	1.350982291
368	1.351741095
369	1.352734512
370	1.347016982
371	1.343461037
372	1.343691325
373	1.340750871
374	1.342012689
375	1.342314003
376	1.34356902
377	1.337183722
378	1.33393489
379	1.335294902
380	1.336725317
381	1.337677879
382	1.331545131
383	1.332050179
384	1.333590682
385	1.327501125
386	1.328630175
387	1.325591292
388	1.327119799
389	1.328648987
390	1.329242743
391	1.323267673
392	1.324739202
393	1.326214982
394	1.327690518
395	1.329161894
396	1.330544621
397	1.327350078
398	1.328837191
399	1.32971744
400	1.329051104
401	1.328444252
402	1.326849035
403	1.328373488
404	1.329888718
405	1.3317443
406	1.330515076
407	1.327389889
408	1.329078618
409	1.330588103
410	1.332084104
411	1.333564022
412	1.327219935
413	1.328718005
414	1.330612408
415	1.329416138
416	1.326328661
417	1.328302669
418	1.32996763
419	1.328844646
420	1.330784443
421	1.332705131
422	1.330630839
423	1.32951629
424	1.331150713
425	1.332568792
426	1.334431862
427	1.335693594
428	1.336941252
429	1.338243212
430	1.339538833
431	1.34082534
432	1.342100307
433	1.342681755
434	1.343905257
435	1.34503513
436	1.346771839
437	1.343066984
438	1.344227347
439	1.343619767
440	1.342286678
441	1.343462148
442	1.342170072
443	1.343337344
444	1.344113536
445	1.344890896
446	1.345296672
447	1.346386868
448	1.345669294
449	1.341943141
450	1.343107801
451	1.34211512
452	1.34290483
453	1.343348569
454	1.344825856
455	1.345901156
456	1.344847322
457	1.346307194
458	1.347339772
459	1.345879341
460	1.34691631
461	1.34588016
462	1.346870225
463	1.34751232
464	1.347879561
465	1.349250458
466	1.350202968
467	1.34864958
468	1.350010378
469	1.350906352
470	1.351811449
471	1.35021363
472	1.351085294
473	1.35128424
474	1.352567858
475	1.3540169
476	1.354841121
477	1.350796841
478	1.351320621
479	1.351533144
480	1.353013562
481	1.353210767
482	1.35162936
483	1.352481351
484	1.352963153
485	1.354087625
486	1.355499762
487	1.356583163
488	1.356947803
489	1.358298765
490	1.358388894
491	1.359552523
492	1.360846557
493	1.361819087
494	1.362417375
495	1.358180449
496	1.358900782
497	1.351889251
498	1.348041755
499	1.348951882
500	1.350179578
501	1.351052336
502	1.351400839
503	1.352502172
504	1.353958301
505	1.354802121
506	1.347990916
507	1.349550268
508	1.345792913
509	1.34675765
510	1.34779259
511	1.341240605
512	1.34231863
513	1.341384938
514	1.337870098
515	1.339012545
516	1.34022078
517	1.333910069
518	1.335149275
519	1.33637469
520	1.336985707
521	1.333557969
522	1.334805729
523	1.336111852
524	1.331266718
525	1.328435006
526	1.32716449
527	1.32813009
528	1.325432417
529	1.322436859
530	1.323330116
531	1.325225568
532	1.326853647
533	1.327711115
534	1.329557989
535	1.331387303
536	1.332612398
537	1.32978031
538	1.331069106
539	1.330041372
540	1.331342343
541	1.332641708
542	1.331985508
543	1.33332499
544	1.334669799
545	1.336015803
546	1.33735932
547	1.338028677
548	1.339235011
549	1.340400978
550	1.341939934
551	1.340608221
552	1.341740265
553	1.343258851
554	1.341918104
555	1.343015511
556	1.344105462
557	1.345190984
558	1.34561299
559	1.347088424
560	1.348545392
561	1.350071223
562	1.350659766
563	1.350907806
564	1.351785249
565	1.352053979
566	1.348086052
